Date,Open,Close,Open_Close_differ,High,Low,High_Low_differ,Adj Close,Volume
2024-01-01,2580.550049,2590.25,9.699951000000056,2606.850098,2573.149902,33.70019599999978,2590.25,2015270
2024-01-02,2585.0,2611.699951,26.699951000000056,2615.0,2573.0,42.0,2611.699951,3724400
2024-01-03,2610.0,2583.300049,-26.699951000000056,2634.0,2577.199951,56.800048999999944,2583.300049,4518768
2024-01-04,2588.0,2596.649902,8.649902000000111,2609.850098,2579.100098,30.75,2596.649902,4806389
2024-01-05,2602.899902,2607.699951,4.8000489999999445,2619.850098,2598.0,21.85009799999989,2607.699951,4043203
2024-01-08,2610.0,2587.350098,-22.64990200000011,2631.949951,2568.949951,63.0,2587.350098,3867326
2024-01-09,2600.0,2580.5,-19.5,2606.800049,2577.199951,29.60009799999989,2580.5,2701537
2024-01-10,2577.0,2650.100098,73.10009799999989,2659.0,2575.050049,83.94995100000006,2650.100098,5551370
2024-01-11,2659.0,2719.800049,60.800048999999944,2725.0,2657.0,68.0,2719.800049,11862926
2024-01-12,2719.800049,2741.449951,21.64990200000011,2746.649902,2691.5,55.14990200000011,2741.449951,7506082
2024-01-15,2750.0,2788.25,38.25,2792.899902,2732.0,60.89990200000011,2788.25,4305297
2024-01-16,2779.949951,2749.25,-30.699951000000056,2792.600098,2741.0,51.60009799999989,2749.25,4534512
2024-01-17,2719.0,2723.149902,4.149902000000111,2772.550049,2710.050049,62.5,2723.149902,6098691
2024-01-18,2702.800049,2735.899902,33.09985300000017,2742.0,2702.5,39.5,2735.899902,5139719
2024-01-19,2752.0,2734.899902,-17.10009799999989,2752.0,2718.0,34.0,2734.899902,5211352
2024-01-22,2734.899902,2734.899902,0.0,2734.899902,2734.899902,0.0,2734.899902,0
2024-01-23,2743.5,2657.149902,-86.35009799999989,2743.5,2645.100098,98.39990200000011,2657.149902,10027710
2024-01-24,2670.449951,2687.75,17.300048999999944,2699.0,2647.850098,51.14990200000011,2687.75,10959564
2024-01-25,2685.899902,2706.149902,20.25,2728.300049,2670.399902,57.90014699999983,2706.149902,5904436
2024-01-29,2729.0,2896.100098,167.1000979999999,2905.0,2720.350098,184.6499020000001,2896.100098,11946719
2024-01-30,2919.899902,2815.25,-104.64990200000011,2919.949951,2808.850098,111.09985300000017,2815.25,7046989
2024-01-31,2808.0,2853.25,45.25,2868.5,2805.0,63.5,2853.25,7565113
